score;steps;seed;unfinished
105;95;24639;0
79;121;31092;0
9;119;30158;0
121;79;25643;0
79;121;17594;0
-152;252;27310;0
39;161;1631;0
117;83;20476;0
31;129;14119;0
78;122;14379;0
88;112;29608;0
78;122;23187;0
64;136;18333;0
112;88;25079;0
85;115;19923;0
28;164;6652;0
38;126;29158;0
-4;116;28647;0
-67;179;17041;0
76;124;30626;0
102;98;15816;0
136;64;648;0
83;117;25019;0
86;114;11855;0
52;148;2600;0
59;141;13585;0
32;168;25045;0
92;108;3784;0
68;132;25683;0
68;132;3675;0
78;122;24344;0
74;126;32438;0
54;146;22882;0
-57;185;1806;0
85;115;16908;0
-29;141;27860;0
68;132;17157;0
35;133;13721;0
-24;208;737;0
69;131;3386;0
101;99;23663;0
82;118;2970;0
116;84;3297;0
92;108;1705;0
64;120;31074;0
65;135;930;0
119;81;14433;0
-34;146;26249;0
67;129;9111;0
99;101;12031;0
28;148;16810;0
113;87;12166;0
91;109;8040;0
115;85;15857;0
94;106;3139;0
107;93;1099;0
107;93;11960;0
15;125;25478;0
21;171;32270;0
-43;187;13243;0
3;177;28187;0
-28;156;14830;0
33;159;22923;0
67;133;29111;0
42;134;27204;0
-200;288;27963;0
93;107;16716;0
73;127;26358;0
-35;171;12353;0
-7;159;20971;0
43;145;24475;0
56;144;8045;0
49;151;27075;0
74;126;7130;0
112;88;21536;0
86;114;21795;0
-83;235;30227;0
84;116;32189;0
95;105;12693;0
25;159;14409;0
82;118;24823;0
47;129;28095;0
-9;137;9547;0
92;108;27792;0
-90;186;25250;0
66;134;17800;0
81;119;10334;0
76;124;5067;0
-33;233;17461;0
40;160;4155;0
44;120;19863;0
-3;147;29866;0
71;129;1449;0
24;152;16593;0
94;106;1965;0
106;94;30717;0
73;119;14330;0
59;141;9453;0
71;129;1247;0
23;177;30438;0
